# a	b	kn_cost  (trigram-backed, kappa=1000.0, d=0.75)
BOS	すでに	10974
BOS	すなわち	13170
BOS	すばやく	10974
BOS	すばらしい	8683
BOS	すべて	7272
BOS	すま	11562
BOS	すみ	13168
BOS	すみません	7305
BOS	すらすら	13171
BOS	すり	11562
BOS	する	9356
BOS	すんで	11562
BOS	ずいぶん	10127
BOS	ずうずうしい	13171
BOS	ずっと	8251
BOS	ずば抜け	11562
BOS	ずらり	13171
BOS	せ	13127
BOS	せいぜい	13170
BOS	せき	10606
BOS	せっかく	10974
BOS	せめて	10974
BOS	せりふ	13171
BOS	ぜったい	13171
BOS	ぜひ	8195
BOS	ぜんぜん	10974
BOS	そい	13171
BOS	そいつ	13171
BOS	そう	7047
BOS	そうい	7973
BOS	そうか	10127
BOS	そうさ	11562
BOS	そうし	8556
BOS	そうじ	13169
BOS	そうする	9201
BOS	そうすれ	10974
BOS	そうそう	13170
BOS	そこ	6355
BOS	そこそこ	13171
BOS	そこら	10974
BOS	そして	7829
BOS	そちら	9458
BOS	そっち	10974
BOS	その	3039
BOS	そのう	8376
BOS	そのまま	9804
BOS	そのみ	11562
BOS	その原	10974
BOS	その子	6486
BOS	その後	8639
BOS	その方	9804
BOS	そば	10338
BOS	そばだっ	13171
BOS	そもそも	10606
BOS	そら	11562
BOS	そりゃ	10974
BOS	それ	4422
BOS	それぞれ	9280
BOS	それっ	9953
BOS	それよ	10127
BOS	そろそろ	8444
BOS	そんな	5617
BOS	たいがい	13171
BOS	たいした	11562
BOS	たいして	10974
BOS	たいてい	8312
BOS	たいへん	9952
BOS	たくさん	7720
BOS	たこ	11544
BOS	たしか	11562
BOS	たずねる	13170
BOS	ただ	8090
BOS	ただいま	9953
BOS	ただし	13171
BOS	ただちに	10606
BOS	ただ今	10607
BOS	たった	9365
BOS	たとえ	7951
BOS	たとえば	10974
BOS	たばこ	8881
BOS	たびたび	10974
BOS	たぶん	8556
BOS	たまご	13171
BOS	たまたま	8556
BOS	たまに	9280
BOS	ため	13069
BOS	ためし	11562
BOS	ためらう	13171
BOS	ためらわ	11562
BOS	たん	13133
BOS	たんまり	13171
BOS	だ	9350
BOS	だいたい	10338
BOS	だから	8480
BOS	だって	9952
BOS	だまさ	13170
BOS	だまっ	13170
BOS	だめ	11560
BOS	だれ	7021
BOS	だれよ	13170
BOS	だんだん	10338
BOS	ちっとも	13169
BOS	ちなみ	13171
BOS	ちゃんと	9560
BOS	ちゅうちょ	13171
BOS	ちょうど	7294
BOS	ちょっと	6608
BOS	ちょっと見	9458
BOS	ちり	13171
BOS	つい	9458
BOS	ついで	11562
BOS	ついに	7138
BOS	つかの間	13171
BOS	つかまる	13171
BOS	つき	10974
BOS	つきあい	13169
BOS	つぎつぎ	13171
BOS	つけ	10973
BOS	つばさ	10974
BOS	つばめ	13171
BOS	つべこべ	13171
BOS	つまら	10127
BOS	つまり	9201
BOS	つまる	13171
BOS	つめ	13170
BOS	つらい	10974
BOS	つり	13170
BOS	つり銭	11562
BOS	てっぺん	13171
BOS	てんで	11562
BOS	で	7474
BOS	でかい	13171
BOS	でかける	10974
BOS	でき	9800
BOS	できる	8776
BOS	できるだけ	7272
BOS	できる限り	9061
BOS	できれ	9952
BOS	です	12683
BOS	と	10291
BOS	とい	10956
BOS	とうがらし	11562
BOS	とうとう	8937
BOS	とき	13136
BOS	ときどき	9458
BOS	とげ	13170
BOS	ところ	8343
BOS	としお	13171
BOS	とてつ	13171
BOS	とても	6666
BOS	とどまる	13170
BOS	とにかく	8223
BOS	ともあれ	13171
BOS	ともかく	9675
BOS	とら	13167
BOS	とりあえず	9365
BOS	とりわけ	9675
BOS	どいつ	13171
BOS	どう	6164
BOS	どういう	9804
BOS	どうし	6613
BOS	どうせ	10606
BOS	どうぞ	6446
BOS	どこ	6553
BOS	どたん場	13171
BOS	どちら	6923
BOS	どっこい	13171
BOS	どっち	9804
BOS	どっちみち	13171
BOS	どなた	13169
BOS	どの	6563
BOS	どのみち	13171
BOS	どのような	9560
BOS	どの道	10974
BOS	どれ	7607
BOS	どれほど	9201
BOS	どろ	13171
BOS	どろぼう	10974
BOS	どんどん	10973
BOS	どんな	6471
BOS	ないと	11549
BOS	なお	13163
BOS	なおし	10974
BOS	なおす	10606
BOS	なか	13167
BOS	なかっ	13007
BOS	なかなか	9458
BOS	なくし	13162
BOS	なくなっ	13136
BOS	なけなし	11562
BOS	なされ	13169
BOS	なす	11561
BOS	なぜ	6625
BOS	なに	8480
BOS	なべ	13171
BOS	なべ物	10607
BOS	なまけ	13171
BOS	なめらか	13171
BOS	なら	11545
BOS	なり	13133
BOS	なるべく	10607
BOS	なるほど	9201
BOS	なん	8409
BOS	なんか	9804
BOS	なんたる	13171
BOS	なんだ	10125
BOS	なんて	7519
BOS	なんと	7755
BOS	にぎやか	10974
BOS	にわか	13163
BOS	にわか仕込み	13171
BOS	にわか雨	10127
BOS	ぬかるん	13171
BOS	ぬれ	10606
BOS	ねぇ	9675
BOS	ねえ	10338
BOS	ねね	13171
BOS	ねばねば	13171
BOS	のちほど	13171
BOS	のど	10971
BOS	のど元	13171
BOS	のんびり	13168
BOS	はい	8555
BOS	はいかい	13171
BOS	はいっ	10973
BOS	はかり	13171
BOS	はがき	13170
BOS	はきはき	13171
BOS	はさみ	11562
BOS	はしご	13171
BOS	はじめ	10126
BOS	はじめて	10974
BOS	はたして	11562
BOS	はっきり	9201
BOS	はにかみ屋	13171
BOS	はやく	11562
BOS	はらはら	13171
BOS	はるか	11561
BOS	はるばる	10606
BOS	ばか	10973
BOS	ばかげ	11561
BOS	ばったり	13169
BOS	ひきつけ	13171
BOS	ひげ	11561
BOS	ひさし	13171
BOS	ひっきり	13170
BOS	ひでお	11562
BOS	ひと	13168
BOS	ひとこと	13170
BOS	ひとしずく	13171
BOS	ひとつ	9804
BOS	ひとみ	11562
BOS	ひとり	9952
BOS	ひとりで	10974
BOS	ひとり暮し	13171
BOS	ひと休み	13171
BOS	ひと雨	13171
BOS	ひどい	7703
